Year,Region,Drought,Extreme temperature,Flood,Storm,Wildfire
1991,Oceania,0,0,0,13,0
1991,South America,0,25,20,0,0
1992,Africa,0,18,21,0,0
1992,Asia,0,290,4990,1174,56
1992,Europe,0,0,23,48,66
1992,North America,0,80,23,116,0
1992,Oceania,0,0,0,6,0
1992,South America,0,0,178,0,0
1993,Africa,0,0,111,24,0
1993,Asia,0,0,4901,2454,0
1993,Europe,0,41,165,38,0
1993,North America,0,48,688,373,3
1993,Oceania,0,17,1,44,0
1993,South America,0,0,252,115,0
1994,Africa,0,0,1085,490,22
1994,Asia,0,294,5117,2383,0
1994,Europe,0,42,209,45,21
1994,North America,0,0,212,1297,13
1994,Oceania,0,5,0,27,4
1994,South America,0,0,148,0,24
1995,Africa,0,32,1246,0,0
1995,Asia,0,678,6421,3162,29
1995,Europe,0,258,7,182,0
1995,North America,0,759,65,403,0
1995,Oceania,0,1,0,8,0
1995,South America,0,2,207,8,0
1996,Africa,0,52,328,37,0
1996,Asia,0,232,7531,4006,25
1996,Europe,0,16,52,8,19
1996,North America,0,0,119,522,1
1996,Oceania,0,0,5,8,0
1996,South America,0,0,27,0,0
1997,Africa,0,0,3022,192,0
1997,Asia,672,173,4036,4791,240
1997,Europe,0,139,136,113,14
1997,North America,0,292,76,427,0
1997,Oceania,60,0,0,79,2
1997,South America,0,0,418,559,10
1998,Africa,12,0,272,18,75
1998,Asia,8,2813,9666,5016,5
1998,Europe,0,226,140,54,17
1998,North America,0,230,466,19847,52
1998,Oceania,0,0,20,0,0
1998,South America,0,0,88,0,1
1999,Africa,206,0,395,327,4
1999,Asia,143,151,3436,11402,61
1999,Europe,0,348,108,252,0
1999,North America,0,272,741,258,1
1999,Oceania,0,0,2,51,1
1999,South America,12,0,30127,3,3
2000,Africa,21,3,1168,188,0
2000,Asia,57,375,4218,929,2
2000,Europe,2,412,93,61,23
2000,North America,0,101,200,164,14
2000,Oceania,0,0,0,1,0
2000,South America,0,36,291,1,8
2001,Africa,58,0,1586,18,31
2001,Asia,0,538,3010,1625,0
2001,Europe,0,1170,101,32,0
2001,North America,41,56,61,182,2
2001,Oceania,0,0,4,4,0
2001,South America,0,14,200,40,0
2002,Africa,588,60,482,88,4
2002,Asia,0,2810,3004,834,0
2002,Europe,0,435,301,83,0
2002,North America,0,64,132,225,0
2002,Oceania,0,0,0,48,2
2002,South America,0,0,239,84,0
2003,Africa,9,40,420,152,0
2003,Asia,0,2073,2875,610,0
2003,Europe,0,72225,23,22,24
2003,North America,0,21,119,216,19
2003,Oceania,0,0,7,22,4
2003,South America,0,339,459,12,0
2004,Africa,80,13,267,412,0
2004,Asia,0,59,3064,2996,0
2004,Europe,0,71,30,38,14
2004,North America,0,17,3410,3064,0
2004,Oceania,0,0,7,28,0
2004,South America,0,95,193,9,0
2005,Africa,149,0,397,127,0
2005,Asia,0,753,4633,1328,0
2005,Europe,0,764,164,43,28
2005,North America,0,33,182,3683,5
2005,Oceania,0,0,4,10,12
2005,South America,0,0,363,65,0
2006,Africa,0,0,1466,8,0
2006,Asia,134,131,4004,4182,0
2006,Europe,0,4495,53,26,4
2006,North America,0,200,70,113,17
2006,Oceania,0,0,5,0,4
2006,South America,0,0,232,0,0
2007,Africa,0,22,936,109,36
2007,Asia,0,384,6933,4925,1
2007,Europe,0,598,49,81,92
2007,North America,0,0,225,745,8
2007,Oceania,0,0,15,175,0
2007,South America,0,82,431,0,8
2008,Africa,4,0,525,129,83
2008,Asia,0,1579,2778,139788,2
2008,Europe,0,109,65,19,0
2008,North America,0,0,236,1036,1
2008,Oceania,0,0,7,8,0
2008,South America,4,0,387,3,0
2009,Africa,0,0,656,48,0
2009,Asia,0,294,2516,2825,0
2009,Europe,0,413,64,41,8
2009,North America,0,58,67,355,2
2009,Oceania,0,347,40,3,180
2009,South America,0,274,284,14,0
2010,Africa,20000,0,639,200,8
2010,Asia,0,780,6254,850,66
2010,Europe,0,56161,181,68,61
2010,North America,0,0,367,436,0
2010,Oceania,0,0,37,4,0
2010,South America,0,503,882,8,31
2011,Africa,0,0,672,120,0
2011,Asia,0,354,3775,2132,0
2011,Europe,0,36,25,11,0
2011,North America,0,25,287,817,9
2011,Oceania,0,0,0,4,0
2011,South America,0,20,1392,16,1
2012,Africa,0,0,852,160,0
2012,Asia,0,403,2252,2584,0
2012,Europe,0,1056,211,1,6
2012,North America,0,123,67,319,3
2012,Oceania,0,0,24,17,0
2012,South America,0,252,142,24,12
2013,Africa,0,0,731,216,1
2013,Asia,0,984,8580,7984,0
2013,Europe,0,789,63,36,9
2013,North America,0,29,101,350,22
2013,Oceania,0,0,0,6,3
2013,South America,0,19,345,6,0
2014,Africa,0,0,507,67,0
2014,Asia,0,409,2586,1147,0
2014,Europe,0,94,141,34,0
2014,North America,0,21,35,160,2
2014,Oceania,0,139,47,13,2
2014,South America,0,505,200,11,12
2015,Africa,0,126,981,192,3
2015,Asia,11,3516,2074,688,19
2015,Europe,0,3762,46,11,30
2015,North America,0,0,120,340,12
2015,Oceania,24,0,7,33,2
2015,South America,0,21,260,18,12
2016,Africa,0,11,826,97,0
2016,Asia,0,421,3283,777,18
2016,Europe,0,58,56,1,4
2016,North America,0,0,153,834,16
2016,Oceania,0,0,1,52,2
2016,South America,0,0,78,0,0
2017,Africa,0,0,312,400,9
2017,Asia,0,264,2650,1552,0
2017,Europe,0,95,31,56,113
2017,North America,0,0,91,543,45
2017,Oceania,0,0,0,12,0
2017,South America,0,0,259,0,11
2018,Africa,0,0,735,152,0
2018,Asia,0,427,2007,1324,17
2018,Europe,0,1138,48,35,100
2018,North America,0,70,44,187,104
2018,Oceania,0,0,0,9,0
2018,South America,0,0,41,2,0
2019,Africa,0,8,971,1306,50
2019,Asia,77,335,3745,649,31
2019,Europe,0,2727,88,53,0
2019,North America,0,0,37,510,3
2019,Oceania,0,0,5,1,32
2019,South America,8,0,292,0,0
2020,Africa,0,0,1286,33,0
2020,Asia,0,3,4722,906,22
2020,Europe,0,6567,23,70,16
2020,North America,45,0,49,692,32
2020,Oceania,0,0,20,59,0
2020,South America,0,0,223,35,5
2021,Africa,0,0,369,66,90
2021,Asia,0,0,3209,1265,13
2021,Europe,0,0,282,18,3
2021,North America,0,1044,110,530,7
2021,Oceania,0,0,6,8,0
2021,South America,0,0,219,0,15
2022,Africa,2465,0,2169,384,44
2022,Asia,0,212,4935,736,4
2022,Europe,0,61570,14,48,19
2022,North America,136,0,122,436,6
2022,Oceania,0,0,31,1,0
2022,South America,0,0,779,0,3
2023,Africa,0,0,4159,14688,34
2023,Asia,0,531,2702,437,15
2023,Europe,0,47537,50,63,44
2023,North America,247,26,229,221,132
2023,Oceania,0,0,4,23,0
2023,South America,10,0,298,70,38
2024,Africa,0,21,2717,279,0
2024,Asia,0,4283,2669,1663,4
2024,Europe,0,62557,275,60,10
2024,North America,0,1161,63,570,5
2024,Oceania,0,0,2,1,0
2024,South America,0,0,282,16,151
